[ INFO] [2020-11-15] [04:41:46,277] [x80009b6b0] StarSystem.update - starsystem c
[ WARN] [2020-11-15] [04:41:46,277] [x80009b8d0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[ INFO] [2020-11-15] [04:41:47,177] [x80009b8d0] Galaxy.galaxyWorker - tick 4
[ WARN] [2020-11-15] [04:41:47,177] [x80009b8d0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[ INFO] [2020-11-15] [04:41:47,227] [x8000acbb0] StarSystem.update - starsystem a
[ INFO] [2020-11-15] [04:41:47,227] [x80009b6b0] StarSystem.update - starsystem b
[ INFO] [2020-11-15] [04:41:47,277] [x8000acbb0] StarSystem.update - starsystem c
[ WARN] [2020-11-15] [04:41:47,277] [x80009b8d0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[ INFO] [2020-11-15] [04:41:48,177] [x80009b8d0] Galaxy.galaxyWorker - tick 5
[ WARN] [2020-11-15] [04:41:48,177] [x80009b8d0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[ INFO] [2020-11-15] [04:41:48,227] [x8000acbb0] StarSystem.update - starsystem a
[ INFO] [2020-11-15] [04:41:48,227] [x80009b6b0] StarSystem.update - starsystem b
[ INFO] [2020-11-15] [04:41:48,277] [x8000acbb0] StarSystem.update - starsystem c
[ WARN] [2020-11-15] [04:41:48,277] [x80009b8d0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[ INFO] [2020-11-15] [04:41:49,177] [x80009b8d0] Galaxy.galaxyWorker - tick 6
[ WARN] [2020-11-15] [04:41:49,177] [x80009b8d0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[ INFO] [2020-11-15] [04:41:49,227] [x8000acbb0] StarSystem.update - starsystem a
[ INFO] [2020-11-15] [04:41:49,227] [x80009b6b0] StarSystem.update - starsystem b
[ INFO] [2020-11-15] [04:41:49,277] [x8000acbb0] StarSystem.update - starsystem c
[ WARN] [2020-11-15] [04:41:49,277] [x80009b8d0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[ INFO] [2020-11-15] [04:41:50,177] [x80009b8d0] Galaxy.galaxyWorker - tick 7
[ WARN] [2020-11-15] [04:41:50,177] [x80009b8d0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[ INFO] [2020-11-15] [04:41:50,227] [x80009b6b0] StarSystem.update - starsystem b
[ INFO] [2020-11-15] [04:41:50,227] [x8000acbb0] StarSystem.update - starsystem a
[ INFO] [2020-11-15] [04:41:50,277] [x80009b6b0] StarSystem.update - starsystem c
[ WARN] [2020-11-15] [04:41:50,277] [x80009b8d0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[FATAL] [2020-11-15] [04:44:34,414] [x800018040] .main - ### Starting ###
[ INFO] [2020-11-15] [04:44:34,416] [x8000a59e0] Galaxy.galaxyWorker - tick 1
[ INFO] [2020-11-15] [04:44:37,977] [x8000935e0] StarSystem.update - starsystem b
[ INFO] [2020-11-15] [04:44:37,977] [x8000a4be0] StarSystem.update - starsystem a
[ WARN] [2020-11-15] [04:44:37,977] [x8000a59e0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[ INFO] [2020-11-15] [04:44:38,030] [x8000a4be0] StarSystem.update - starsystem b
[ INFO] [2020-11-15] [04:44:38,030] [x8000935e0] StarSystem.update - starsystem a
[ WARN] [2020-11-15] [04:44:57,434] [x8000a59e0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[ INFO] [2020-11-15] [04:44:57,434] [x8000a4be0] StarSystem.update - starsystem c
[ INFO] [2020-11-15] [04:44:58,434] [x8000a59e0] Galaxy.galaxyWorker - tick 2
[ WARN] [2020-11-15] [04:45:02,945] [x8000a59e0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[ INFO] [2020-11-15] [04:45:02,995] [x8000935e0] StarSystem.update - starsystem a
[ INFO] [2020-11-15] [04:45:02,995] [x8000a4be0] StarSystem.update - starsystem b
[ INFO] [2020-11-15] [04:45:03,045] [x8000935e0] StarSystem.update - starsystem c
[ WARN] [2020-11-15] [04:45:08,356] [x8000a59e0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[ INFO] [2020-11-15] [04:45:08,356] [x8000a59e0] Galaxy.galaxyWorker - tick 3
[ INFO] [2020-11-15] [04:45:11,033] [x8000935e0] StarSystem.update - starsystem a
[ WARN] [2020-11-15] [04:45:11,033] [x8000a59e0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[ INFO] [2020-11-15] [04:45:11,081] [x8000a4be0] StarSystem.update - starsystem b
[ INFO] [2020-11-15] [04:45:11,083] [x8000935e0] StarSystem.update - starsystem c
[ WARN] [2020-11-15] [04:45:22,533] [x8000a59e0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[ INFO] [2020-11-15] [04:45:22,533] [x8000a59e0] Galaxy.galaxyWorker - tick 4
[ INFO] [2020-11-15] [04:45:23,510] [x8000935e0] StarSystem.update - starsystem a
[ INFO] [2020-11-15] [04:45:23,510] [x8000a4be0] StarSystem.update - starsystem b
[ WARN] [2020-11-15] [04:45:23,510] [x8000a59e0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[ INFO] [2020-11-15] [04:45:23,560] [x8000935e0] StarSystem.update - starsystem c
[ WARN] [2020-11-15] [04:45:24,449] [x8000a59e0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[ INFO] [2020-11-15] [04:45:24,449] [x8000a59e0] Galaxy.galaxyWorker - tick 5
[ INFO] [2020-11-15] [04:45:25,350] [x8000a4be0] StarSystem.update - starsystem a
[ WARN] [2020-11-15] [04:45:25,350] [x8000a59e0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[ INFO] [2020-11-15] [04:45:25,398] [x8000935e0] StarSystem.update - starsystem b
[ INFO] [2020-11-15] [04:45:25,400] [x8000a4be0] StarSystem.update - starsystem c
